bay_id,st_marker_id,status,location,lat,lon
1277,4469W,Unoccupied,"(-37.81327805947637, 144.95417047260483)",-37.81327805947637,144.95417047260483
4298,C6932,Unoccupied,"(-37.809377574431565, 144.9560547857816)",-37.809377574431565,144.9560547857816
4661,8482E,Unoccupied,"(-37.82512212746853, 144.96695361198778)",-37.82512212746853,144.96695361198778
5033,9509S,Unoccupied,"(-37.82846024590137, 144.9664112582788)",-37.82846024590137,144.9664112582788
2537,C3030,Present,"(-37.81321426759627, 144.95906727184024)",-37.81321426759627,144.95906727184024
1272,4464E,Unoccupied,"(-37.81365261136899, 144.9545957601222)",-37.81365261136899,144.9545957601222
1110,C1136,Unoccupied,"(-37.8143763501657, 144.96041280692424)",-37.8143763501657,144.96041280692424
1285,4477W,Unoccupied,"(-37.813080876750426, 144.954078739502)",-37.813080876750426,144.954078739502
7057,4688Ea,Present,"(-37.80494402980314, 144.9591612913402)",-37.80494402980314,144.9591612913402
4746,8706E,Unoccupied,"(-37.82495775623539, 144.96339598972745)",-37.82495775623539,144.96339598972745
1799,2461S,Unoccupied,"(-37.81623201622112, 144.95656615550945)",-37.81623201622112,144.95656615550945
5028,9500N,Present,"(-37.82844959256275, 144.96680804737142)",-37.82844959256275,144.96680804737142
1316,1316E,Present,"(-37.816978643629675, 144.9589223781182)",-37.816978643629675,144.9589223781182
1751,2371S,Present,"(-37.81239577195055, 144.9697692737906)",-37.81239577195055,144.9697692737906
1266,4458E,Unoccupied,"(-37.81380452889191, 144.95466629238138)",-37.81380452889191,144.95466629238138
5107,9906N,Present,"(-37.825537592433335, 144.96867719826153)",-37.825537592433335,144.96867719826153
1326,1342E,Present,"(-37.81490864254657, 144.95798089903872)",-37.81490864254657,144.95798089903872
5029,9502N,Present,"(-37.828437104586975, 144.96674232101253)",-37.828437104586975,144.96674232101253
6679,8632E,Present,"(-37.82571178150797, 144.96250604160508)",-37.82571178150797,144.96250604160508
755,C260,Present,"(-37.815312019230106, 144.9720582827795)",-37.815312019230106,144.9720582827795
5245,11515S,Present,"(-37.81177122240427, 144.9523341402592)",-37.81177122240427,144.9523341402592
3814,C5470,Unoccupied,"(-37.80737735622807, 144.9544048264981)",-37.80737735622807,144.9544048264981
3146,5327W,Present,"(-37.81089672246442, 144.9558938031507)",-37.81089672246442,144.9558938031507
4432,C7704,Unoccupied,"(-37.80362535960599, 144.95474956666084)",-37.80362535960599,144.95474956666084
1867,2599S,Present,"(-37.81489752425557, 144.95716502227475)",-37.81489752425557,144.95716502227475
930,C728,Present,"(-37.81355383075956, 144.96844271750285)",-37.81355383075956,144.96844271750285
6831,14022E,Present,"(-37.797129800203095, 144.95808689578098)",-37.797129800203095,144.95808689578098
6086,13237S,Unoccupied,"(-37.819996462879786, 144.9435597621486)",-37.819996462879786,144.9435597621486
6252,13408E,Unoccupied,"(-37.81927228594812, 144.94741784611003)",-37.81927228594812,144.94741784611003
5113,9918N,Present,"(-37.82558593492118, 144.96851163019656)",-37.82558593492118,144.96851163019656
3217,5522E,Present,"(-37.80677369416307, 144.95425777670619)",-37.80677369416307,144.95425777670619
6175,13240N,Unoccupied,"(-37.81959520976383, 144.94431238039945)",-37.81959520976383,144.94431238039945
870,742E,Unoccupied,"(-37.81335969196184, 144.96847993094025)",-37.81335969196184,144.96847993094025
1293,4485W,Unoccupied,"(-37.81280728611151, 144.9539512252004)",-37.81280728611151,144.9539512252004
4268,C6868,Unoccupied,"(-37.80940834052792, 144.9557817779109)",-37.80940834052792,144.9557817779109
6390,13636E,Unoccupied,"(-37.82036873067143, 144.94457489244326)",-37.82036873067143,144.94457489244326
1104,C1124,Unoccupied,"(-37.81454637238771, 144.96049093434277)",-37.81454637238771,144.96049093434277
6591,13791W,Unoccupied,"(-37.813069156681486, 144.94064157729275)",-37.813069156681486,144.94064157729275
5034,9510N,Unoccupied,"(-37.828386254726624, 144.96647472925812)",-37.828386254726624,144.96647472925812
1647,2125S,Unoccupied,"(-37.81245052142985, 144.9731551410308)",-37.81245052142985,144.9731551410308
5117,9926N,Present,"(-37.825618079578746, 144.96840149568447)",-37.825618079578746,144.96840149568447
6217,13312E,Present,"(-37.819782568916395, 144.9471226462669)",-37.819782568916395,144.9471226462669
4193,C6656,Present,"(-37.80858464747753, 144.9589793369648)",-37.80858464747753,144.9589793369648
4308,C6952,Unoccupied,"(-37.8092757883083, 144.95607346019614)",-37.8092757883083,144.95607346019614
3491,6575S,Unoccupied,"(-37.808372609345994, 144.96005705671809)",-37.808372609345994,144.96005705671809
5806,12540N,Unoccupied,"(-37.815761228793, 144.9804762023069)",-37.815761228793,144.9804762023069
2019,3465S,Unoccupied,"(-37.81217344024614, 144.9589106246184)",-37.81217344024614,144.9589106246184
2020,3466N,Unoccupied,"(-37.81212780897975, 144.9588953880802)",-37.81212780897975,144.9588953880802
1693,2244N,Present,"(-37.816317970037694, 144.9597641507715)",-37.816317970037694,144.9597641507715
4401,C7236,Present,"(-37.807899678320105, 144.95221886552395)",-37.807899678320105,144.95221886552395
6420,13666E,Present,"(-37.82109569903824, 144.9454458649189)",-37.82109569903824,144.9454458649189
1429,1664N,Present,"(-37.81859607393184, 144.96319319654387)",-37.81859607393184,144.96319319654387
3147,5329W,Unoccupied,"(-37.81084570995648, 144.9558703069698)",-37.81084570995648,144.9558703069698
6326,13470E,Present,"(-37.818680290689855, 144.9497962450887)",-37.818680290689855,144.9497962450887
2528,C2994,Present,"(-37.813135638529545, 144.9593364692715)",-37.813135638529545,144.9593364692715
5036,9512N,Unoccupied,"(-37.82837376717498, 144.96640899509504)",-37.82837376717498,144.96640899509504
1276,4468E,Unoccupied,"(-37.81355506304922, 144.95455077200643)",-37.81355506304922,144.95455077200643
5487,11897W,Unoccupied,"(-37.810264131645354, 144.9781294721275)",-37.810264131645354,144.9781294721275
6329,13476E,Unoccupied,"(-37.81884401722239, 144.94992492565876)",-37.81884401722239,144.94992492565876
6327,13472E,Unoccupied,"(-37.81872956759371, 144.94983508237794)",-37.81872956759371,144.94983508237794
6590,13789W,Unoccupied,"(-37.813121916374236, 144.94067381184027)",-37.813121916374236,144.94067381184027
6131,C13628,Unoccupied,"(-37.819673337996456, 144.94435930939085)",-37.819673337996456,144.94435930939085
1873,2606N,Present,"(-37.814921099859625, 144.95689258645808)",-37.814921099859625,144.95689258645808
1336,1353W,Unoccupied,"(-37.81435703475429, 144.95747980518195)",-37.81435703475429,144.95747980518195
6535,13772E,Present,"(-37.813460652936286, 144.93937027967314)",-37.813460652936286,144.93937027967314
5032,9508N,Unoccupied,"(-37.82839890113054, 144.9665412828054)",-37.82839890113054,144.9665412828054
5604,12227S,Present,"(-37.80947710124289, 144.97419421336804)",-37.80947710124289,144.97419421336804
3615,7563S,Present,"(-37.80593239786066, 144.95561786622383)",-37.80593239786066,144.95561786622383
1678,2208N,Present,"(-37.8153671893032, 144.96303415225236)",-37.8153671893032,144.96303415225236
6655,13006N,Unoccupied,"(-37.819790702687186, 144.9513515962505)",-37.819790702687186,144.9513515962505
6237,13352E,Present,"(-37.8156763899618, 144.9453505933454)",-37.8156763899618,144.9453505933454
4657,8478E,Present,"(-37.825225640396084, 144.96692296816585)",-37.825225640396084,144.96692296816585
5425,11802E,Present,"(-37.81409731884076, 144.97772681545538)",-37.81409731884076,144.97772681545538
1015,968E,Present,"(-37.81168094321042, 144.9620837881459)",-37.81168094321042,144.9620837881459
4284,C6904,Unoccupied,"(-37.809225058582896, 144.9558161699686)",-37.809225058582896,144.9558161699686
1900,2261W,Unoccupied,"(-37.816560481829114, 144.95727592405046)",-37.816560481829114,144.95727592405046
2021,3467S,Unoccupied,"(-37.81219338867791, 144.95884122060596)",-37.81219338867791,144.95884122060596
1102,C1120,Unoccupied,"(-37.81459292054795, 144.96051235527094)",-37.81459292054795,144.96051235527094
6303,13363W,Unoccupied,"(-37.819170503440816, 144.94937846771063)",-37.819170503440816,144.94937846771063
3849,C5588,Present,"(-37.80627608274409, 144.95390490606593)",-37.80627608274409,144.95390490606593
6332,13482E,Unoccupied,"(-37.81949229145816, 144.9504366415831)",-37.81949229145816,144.9504366415831
2928,4905W,Unoccupied,"(-37.80818616415566, 144.9577588871878)",-37.80818616415566,144.9577588871878
1798,2459S,Unoccupied,"(-37.816213588681364, 144.95663022503436)",-37.816213588681364,144.95663022503436
1324,1339W,Unoccupied,"(-37.81520068144283, 144.9578608365442)",-37.81520068144283,144.9578608365442
3831,C5536,Unoccupied,"(-37.80672619347971, 144.95410969981918)",-37.80672619347971,144.95410969981918
6335,13488E,Present,"(-37.81965271469275, 144.95056196112904)",-37.81965271469275,144.95056196112904
6334,13486E,Present,"(-37.81960518932283, 144.95052582939485)",-37.81960518932283,144.95052582939485
6333,13484E,Present,"(-37.81954177019237, 144.95047574201627)",-37.81954177019237,144.95047574201627
3087,5230E,Unoccupied,"(-37.805283077166095, 144.9572972297695)",-37.805283077166095,144.9572972297695
2159,3809S,Unoccupied,"(-37.810675871318544, 144.96038209867683)",-37.810675871318544,144.96038209867683
7053,4666Ea,Present,"(-37.805653516399715, 144.95948789451333)",-37.805653516399715,144.95948789451333
3216,5520E,Unoccupied,"(-37.80682314187973, 144.9542802575842)",-37.80682314187973,144.9542802575842
6328,13474E,Present,"(-37.8187948047274, 144.94988619155254)",-37.8187948047274,144.94988619155254
2025,3471S,Unoccupied,"(-37.81223948439501, 144.95868109098166)",-37.81223948439501,144.95868109098166
1878,2614N,Unoccupied,"(-37.815008870215586, 144.95659472478343)",-37.815008870215586,144.95659472478343
2016,3461S,Present,"(-37.812133543217044, 144.95904942915473)",-37.812133543217044,144.95904942915473
2525,C2984,Present,"(-37.81309344441904, 144.9594816714548)",-37.81309344441904,144.9594816714548
4655,8475W,Present,"(-37.825303190036415, 144.96671280558058)",-37.825303190036415,144.96671280558058
3833,C5542,Unoccupied,"(-37.80667854772118, 144.9540880143075)",-37.80667854772118,144.9540880143075
6092,13251S,Present,"(-37.82011525242285, 144.9431517749976)",-37.82011525242285,144.9431517749976
2023,3469S,Unoccupied,"(-37.81221953605045, 144.958750493386)",-37.81221953605045,144.958750493386
1101,C1118,Unoccupied,"(-37.81461495691755, 144.96052248158327)",-37.81461495691755,144.96052248158327
3103,5259W,Present,"(-37.80482892995789, 144.95725410049556)",-37.80482892995789,144.95725410049556
6612,13853S,Present,"(-37.81411371713209, 144.94156827650255)",-37.81411371713209,144.94156827650255
1615,2037S,Present,"(-37.817871935636475, 144.95861779346112)",-37.817871935636475,144.95861779346112
5115,9922N,Present,"(-37.82560198874476, 144.96845701189937)",-37.82560198874476,144.96845701189937
7062,4700Ea,Unoccupied,"(-37.80463110382532, 144.95901729620357)",-37.80463110382532,144.95901729620357
5173,11607S,Present,"(-37.81086311637422, 144.95142511877822)",-37.81086311637422,144.95142511877822
3836,C5548,Unoccupied,"(-37.80660767581779, 144.95405575694514)",-37.80660767581779,144.95405575694514
3538,7039S,Present,"(-37.80762337918691, 144.9583329133774)",-37.80762337918691,144.9583329133774
6604,13837S,Present,"(-37.814655168559625, 144.9402569398576)",-37.814655168559625,144.9402569398576
866,694E,Present,"(-37.814047416019505, 144.96879507487446)",-37.814047416019505,144.96879507487446
3259,5812E,Unoccupied,"(-37.806990515111366, 144.9534817138573)",-37.806990515111366,144.9534817138573
928,C724,Present,"(-37.81362355936621, 144.96847414382597)",-37.81362355936621,144.96847414382597
5462,11878E,Unoccupied,"(-37.8106405387455, 144.9783068691765)",-37.8106405387455,144.9783068691765
5668,12334N,Unoccupied,"(-37.80986788595104, 144.97928533688562)",-37.80986788595104,144.97928533688562
5485,11893W,Unoccupied,"(-37.81039625399951, 144.97810771307672)",-37.81039625399951,144.97810771307672
3059,5181W,Present,"(-37.811225166009436, 144.95738072878697)",-37.811225166009436,144.95738072878697
6543,13747W,Present,"(-37.813489844897134, 144.93926863259958)",-37.813489844897134,144.93926863259958
2248,3938N,Present,"(-37.81226727797973, 144.95437225197944)",-37.81226727797973,144.95437225197944
5760,12437S,Present,"(-37.81192834279011, 144.9755427996227)",-37.81192834279011,144.9755427996227
5623,12270N,Unoccupied,"(-37.809635839965736, 144.97715270365188)",-37.809635839965736,144.97715270365188
1274,4466E,Unoccupied,"(-37.81360161910824, 144.95457224854204)",-37.81360161910824,144.95457224854204
3161,5353W,Present,"(-37.810139380103976, 144.95554654399626)",-37.810139380103976,144.95554654399626
6542,13745W,Unoccupied,"(-37.813540173342474, 144.9392991427561)",-37.813540173342474,144.9392991427561
5464,11882E,Unoccupied,"(-37.81053700742207, 144.97832432706787)",-37.81053700742207,144.97832432706787
2524,C2982,Present,"(-37.81308470599977, 144.9595115887637)",-37.81308470599977,144.9595115887637
3490,6573S,Unoccupied,"(-37.80835568973339, 144.96011577294576)",-37.80835568973339,144.96011577294576
5038,9515S,Present,"(-37.82844186281385, 144.9663140537631)",-37.82844186281385,144.9663140537631
3308,5992N,Present,"(-37.8097238985613, 144.95901422180225)",-37.8097238985613,144.95901422180225
775,C344,Present,"(-37.814366819176435, 144.97161879798873)",-37.814366819176435,144.97161879798873
6522,13758E,Present,"(-37.81229898399562, 144.93624868116535)",-37.81229898399562,144.93624868116535
1034,1207W,Unoccupied,"(-37.81258422957109, 144.95946907389737)",-37.81258422957109,144.95946907389737
5491,12042E,Present,"(-37.812541185439564, 144.98330593647106)",-37.812541185439564,144.98330593647106
1035,1209W,Present,"(-37.812534937920475, 144.95944699590956)",-37.812534937920475,144.95944699590956
754,C256,Present,"(-37.81533487842363, 144.97206877950464)",-37.81533487842363,144.97206877950464
6492,13826N,Present,"(-37.815826267820086, 144.93754275839638)",-37.815826267820086,144.93754275839638
869,738E,Present,"(-37.8134107772366, 144.9685031670179)",-37.8134107772366,144.9685031670179
6021,13041S,Unoccupied,"(-37.821242746254875, 144.9469465502065)",-37.821242746254875,144.9469465502065
1031,1201W,Unoccupied,"(-37.81273654814882, 144.95953731223602)",-37.81273654814882,144.95953731223602
6904,14255W,Unoccupied,"(-37.79479954762094, 144.9648645980057)",-37.79479954762094,144.9648645980057
6066,13054N,Present,"(-37.82095614688842, 144.94301339738053)",-37.82095614688842,144.94301339738053
6386,13635W,Present,"(-37.82012665834914, 144.9443629710079)",-37.82012665834914,144.9443629710079
3048,5152E,Present,"(-37.802770306718415, 144.95696523742583)",-37.802770306718415,144.95696523742583
6571,13838N,Present,"(-37.81274616966401, 144.9400651918926)",-37.81274616966401,144.9400651918926
1268,4460E,Unoccupied,"(-37.81375394177102, 144.95464267215107)",-37.81375394177102,144.95464267215107
4318,C6974,Present,"(-37.80935195116392, 144.95619976326594)",-37.80935195116392,144.95619976326594
3368,6179W,Unoccupied,"(-37.80406031812777, 144.94317667886412)",-37.80406031812777,144.94317667886412
1029,1198E,Unoccupied,"(-37.8132217535949, 144.96001226323403)",-37.8132217535949,144.96001226323403
2249,3940N,Unoccupied,"(-37.81228549681919, 144.95430806340084)",-37.81228549681919,144.95430806340084
5770,12457S,Present,"(-37.81202093776078, 144.97638779659894)",-37.81202093776078,144.97638779659894
6074,13213S,Present,"(-37.818795475926336, 144.94774071100824)",-37.818795475926336,144.94774071100824
6413,13662E,Present,"(-37.81980590650977, 144.9453547426254)",-37.81980590650977,144.9453547426254
6541,13743W,Unoccupied,"(-37.81359050222113, 144.9393296896858)",-37.81359050222113,144.9393296896858
5054,9831S,Present,"(-37.82522687308695, 144.9701104654887)",-37.82522687308695,144.9701104654887
6608,13845S,Present,"(-37.81452714362041, 144.94049796301397)",-37.81452714362041,144.94049796301397
6645,13618E,Present,"(-37.81952667313469, 144.9436774530061)",-37.81952667313469,144.9436774530061
6123,C13596,Present,"(-37.81953717751574, 144.944832602833)",-37.81953717751574,144.944832602833
6018,13035S,Present,"(-37.82118079247428, 144.94716143578898)",-37.82118079247428,144.94716143578898
1689,2238N,Unoccupied,"(-37.816259712092936, 144.95996713141903)",-37.816259712092936,144.95996713141903
4901,9323S,Present,"(-37.82949867265479, 144.9685432250867)",-37.82949867265479,144.9685432250867
2242,3930N,Unoccupied,"(-37.81219457073095, 144.9546289525064)",-37.81219457073095,144.9546289525064
3391,6225W,Unoccupied,"(-37.80607013714261, 144.95087680551586)",-37.80607013714261,144.95087680551586
5138,9951S,Present,"(-37.826099556319534, 144.96711904843448)",-37.826099556319534,144.96711904843448
1036,1211W,Present,"(-37.81247081755339, 144.95941713343254)",-37.81247081755339,144.95941713343254
688,354E,Present,"(-37.81365734952133, 144.97141896636253)",-37.81365734952133,144.97141896636253
6103,C13508,Present,"(-37.81923720387667, 144.94587058764475)",-37.81923720387667,144.94587058764475
1496,1849S,Present,"(-37.81883675870308, 144.95921411832094)",-37.81883675870308,144.95921411832094
4941,9367S,Present,"(-37.82970576882851, 144.96782937754693)",-37.82970576882851,144.96782937754693
6179,13248N,Unoccupied,"(-37.8196689953097, 144.94406016511218)",-37.8196689953097,144.94406016511218
6177,13244N,Present,"(-37.81963249537165, 144.94418446205015)",-37.81963249537165,144.94418446205015
3201,5457W,Unoccupied,"(-37.80756710360468, 144.9543703640848)",-37.80756710360468,144.9543703640848
5152,9974N,Present,"(-37.826031956467325, 144.96700098160093)",-37.826031956467325,144.96700098160093
6533,13768E,Unoccupied,"(-37.8135580828739, 144.93942936083192)",-37.8135580828739,144.93942936083192
6589,13787W,Present,"(-37.81317468124503, 144.94070604585215)",-37.81317468124503,144.94070604585215
1325,1341W,Present,"(-37.81514999264033, 144.9578375008079)",-37.81514999264033,144.9578375008079
6633,13917W,Present,"(-37.813967414908575, 144.94241431081554)",-37.813967414908575,144.94241431081554
1734,2341S,Present,"(-37.81192267778116, 144.971384445823)",-37.81192267778116,144.971384445823
1270,4462E,Unoccupied,"(-37.813703354077106, 144.95461916833347)",-37.813703354077106,144.95461916833347
5096,9894N,Present,"(-37.82548923753479, 144.96884267392758)",-37.82548923753479,144.96884267392758
5085,9880N,Present,"(-37.825431564003324, 144.96904054680948)",-37.825431564003324,144.96904054680948
6588,13785W,Present,"(-37.81322758559355, 144.94073826784955)",-37.81322758559355,144.94073826784955
6632,13922E,Present,"(-37.814024629834215, 144.9426339252993)",-37.814024629834215,144.9426339252993
6625,13911W,Unoccupied,"(-37.81360586599019, 144.9418343925572)",-37.81360586599019,144.9418343925572
6631,13920E,Present,"(-37.813970409121296, 144.94255032876387)",-37.813970409121296,144.94255032876387
6572,13840N,Present,"(-37.8127184772563, 144.94013826160312)",-37.8127184772563,144.94013826160312
3392,6227W,Unoccupied,"(-37.806048953285384, 144.9508671460027)",-37.806048953285384,144.9508671460027
1472,1777S,Present,"(-37.816775252167844, 144.96602201405722)",-37.816775252167844,144.96602201405722
6627,13915W,Unoccupied,"(-37.81368627735124, 144.94195845080156)",-37.81368627735124,144.94195845080156
681,291W,Present,"(-37.814705802007865, 144.9716574042041)",-37.814705802007865,144.9716574042041
5306,9529S,Present,"(-37.82826206056487, 144.96538434895513)",-37.82826206056487,144.96538434895513
2006,3435S,Unoccupied,"(-37.81080726932605, 144.96356786363793)",-37.81080726932605,144.96356786363793
6720,2252N,Present,"(-37.81674131099125, 144.95812812520947)",-37.81674131099125,144.95812812520947
6191,13272N,Present,"(-37.82018292396344, 144.94229570425165)",-37.82018292396344,144.94229570425165
1861,2592N,Present,"(-37.8147781176515, 144.95739065547053)",-37.8147781176515,144.95739065547053
5120,9932N,Present,"(-37.82584860778727, 144.9676296003751)",-37.82584860778727,144.9676296003751
916,C680,Present,"(-37.814288525689115, 144.96878064119255)",-37.814288525689115,144.96878064119255
5631,12286N,Unoccupied,"(-37.809693811140896, 144.97769291357366)",-37.809693811140896,144.97769291357366
5116,9924N,Present,"(-37.82560993632516, 144.96842939666948)",-37.82560993632516,144.96842939666948
5204,C8060,Unoccupied,"(-37.81071809241126, 144.95159765863582)",-37.81071809241126,144.95159765863582
6093,13253S,Present,"(-37.82013907685693, 144.94306994818584)",-37.82013907685693,144.94306994818584
6396,13645W,Present,"(-37.82055326930533, 144.94545400068566)",-37.82055326930533,144.94545400068566
5360,8901W,Present,"(-37.82413759354036, 144.96206878558004)",-37.82413759354036,144.96206878558004
6190,13270N,Present,"(-37.82016441447789, 144.94235971345913)",-37.82016441447789,144.94235971345913
4202,C6690,Present,"(-37.80875387217788, 144.9583956929061)",-37.80875387217788,144.9583956929061
6293,13464E,Present,"(-37.82010913885051, 144.94866103034983)",-37.82010913885051,144.94866103034983
5135,9948N,Present,"(-37.82590738618179, 144.96742854136147)",-37.82590738618179,144.96742854136147
3076,5209W,Present,"(-37.80558031124342, 144.95711815566426)",-37.80558031124342,144.95711815566426
5862,C9150,Present,"(-37.79843097783437, 144.96501800911716)",-37.79843097783437,144.96501800911716
3330,6014N,Present,"(-37.81015790468105, 144.95749072689276)",-37.81015790468105,144.95749072689276
7060,4694Ea,Unoccupied,"(-37.80479172656398, 144.95909104701795)",-37.80479172656398,144.95909104701795
2234,3918N,Unoccupied,"(-37.812085652084235, 144.9550140018767)",-37.812085652084235,144.9550140018767
5050,9827S,Present,"(-37.825189636460706, 144.97023816002365)",-37.825189636460706,144.97023816002365
2251,3944N,Unoccupied,"(-37.812321764801254, 144.95417995459024)",-37.812321764801254,144.95417995459024
1267,4459W,Present,"(-37.81388506793743, 144.9544500539339)",-37.81388506793743,144.9544500539339
6650,13762E,Present,"(-37.81509733710419, 144.94034181799492)",-37.81509733710419,144.94034181799492
2237,3924N,Unoccupied,"(-37.812140156085434, 144.95482142773676)",-37.812140156085434,144.95482142773676
677,283W,Present,"(-37.81491066077645, 144.97175278093215)",-37.81491066077645,144.97175278093215
1280,4472E,Present,"(-37.81313512024972, 144.95435502984975)",-37.81313512024972,144.95435502984975
3860,C5616,Unoccupied,"(-37.80721481684331, 144.9549108590483)",-37.80721481684331,144.9549108590483
2896,4852E,Present,"(-37.80966893999779, 144.9583907734873)",-37.80966893999779,144.9583907734873
1265,4457W,Present,"(-37.81393783259279, 144.9544746275135)",-37.81393783259279,144.9544746275135
5118,9928N,Present,"(-37.82562669920827, 144.968373983652)",-37.82562669920827,144.968373983652
6197,13307W,Unoccupied,"(-37.82052059935896, 144.94720592383425)",-37.82052059935896,144.94720592383425
5142,9955S,Present,"(-37.82613535460371, 144.96699666752312)",-37.82613535460371,144.96699666752312
6465,13817S,Present,"(-37.81510809417088, 144.93719478091288)",-37.81510809417088,144.93719478091288
864,686E,Present,"(-37.81414395110353, 144.96883930604304)",-37.81414395110353,144.96883930604304
6660,13415W,Present,"(-37.81966139349092, 144.94976558136528)",-37.81966139349092,144.94976558136528
5678,12331S,Unoccupied,"(-37.81000436632493, 144.9791884306493)",-37.81000436632493,144.9791884306493
6824,14008E,Present,"(-37.7985292254026, 144.95791370508152)",-37.7985292254026,144.95791370508152
1901,2263W,Unoccupied,"(-37.816510247887585, 144.95725315964157)",-37.816510247887585,144.95725315964157
6643,13614E,Present,"(-37.81963127323259, 144.94372543966972)",-37.81963127323259,144.94372543966972
6184,13258N,Present,"(-37.81991234380873, 144.94322369995194)",-37.81991234380873,144.94322369995194
